,Optimizer:,lambda,gamma,learning_rate,accuracy
270,Adagrad,0.001,0.01,,0.8187134502923976
271,RMSprop,0.001,0.01,,0.7192982456140351
272,Adam,0.001,0.01,,0.8128654970760234
273,Adagrad,0.001,0.01,0.0001,0.9239766081871345
274,RMSprop,0.001,0.01,0.0001,0.8596491228070176
275,Adam,0.001,0.01,0.0001,0.8654970760233918
276,Adagrad,0.001,0.01,0.001,0.9239766081871345
277,RMSprop,0.001,0.01,0.001,0.8654970760233918
278,Adam,0.001,0.01,0.001,0.8011695906432749
279,Adagrad,0.001,0.01,0.01,0.7953216374269005
280,RMSprop,0.001,0.01,0.01,0.8128654970760234
281,Adam,0.001,0.01,0.01,0.8128654970760234
282,Adagrad,0.001,0.01,0.1,0.8070175438596491
283,RMSprop,0.001,0.01,0.1,0.7543859649122807
284,Adam,0.001,0.01,0.1,0.8187134502923976
285,Adagrad,0.001,0.01,1.0,0.8187134502923976
286,RMSprop,0.001,0.01,1.0,0.8011695906432749
287,Adam,0.001,0.01,1.0,0.7953216374269005
288,Adagrad,0.001,0.1,,0.8187134502923976
289,RMSprop,0.001,0.1,,0.8128654970760234
290,Adam,0.001,0.1,,0.8128654970760234
291,Adagrad,0.001,0.1,0.0001,0.9239766081871345
292,RMSprop,0.001,0.1,0.0001,0.8596491228070176
293,Adam,0.001,0.1,0.0001,0.7894736842105263
294,Adagrad,0.001,0.1,0.001,0.9239766081871345
295,RMSprop,0.001,0.1,0.001,0.8596491228070176
296,Adam,0.001,0.1,0.001,0.7719298245614035
297,Adagrad,0.001,0.1,0.01,0.7953216374269005
298,RMSprop,0.001,0.1,0.01,0.8654970760233918
299,Adam,0.001,0.1,0.01,0.8128654970760234
300,Adagrad,0.001,0.1,0.1,0.8070175438596491
301,RMSprop,0.001,0.1,0.1,0.7251461988304093
302,Adam,0.001,0.1,0.1,0.8245614035087719
303,Adagrad,0.001,0.1,1.0,0.8187134502923976
304,RMSprop,0.001,0.1,1.0,0.7602339181286549
305,Adam,0.001,0.1,1.0,0.631578947368421
306,Adagrad,0.001,1.0,,0.8187134502923976
307,RMSprop,0.001,1.0,,0.631578947368421
308,Adam,0.001,1.0,,0.8128654970760234
309,Adagrad,0.001,1.0,0.0001,0.9239766081871345
