Hidden Activation Functions,Hidden Derivatives,Output Activation Function,Cost Function,Cost Derivative,Accuracy (%)
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",sigmoid,binary_cross_entropy,MSE_derivative,96.49122807017544
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",softmax,binary_cross_entropy,MSE_derivative,37.719298245614034
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",ReLU,binary_cross_entropy,MSE_derivative,96.49122807017544
"['ReLU', 'sigmoid']","['ReLU_derivative', 'sigmoid_derivative']",leaky_ReLU,binary_cross_entropy,MSE_derivative,92.10526315789474
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",sigmoid,binary_cross_entropy,MSE_derivative,62.28070175438597
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",softmax,binary_cross_entropy,MSE_derivative,62.28070175438597
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
"['ReLU', 'softmax']","['ReLU_derivative', '<lambda>']",leaky_ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'softmax']","['leaky_ReLU_derivative', '<lambda>']",sigmoid,binary_cross_entropy,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'softmax']","['leaky_ReLU_derivative', '<lambda>']",softmax,binary_cross_entropy,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'softmax']","['leaky_ReLU_derivative', '<lambda>']",ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'softmax']","['leaky_ReLU_derivative', '<lambda>']",leaky_ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'sigmoid']","['leaky_ReLU_derivative', 'sigmoid_derivative']",sigmoid,binary_cross_entropy,MSE_derivative,97.36842105263158
"['leaky_ReLU', 'sigmoid']","['leaky_ReLU_derivative', 'sigmoid_derivative']",softmax,binary_cross_entropy,MSE_derivative,37.719298245614034
"['leaky_ReLU', 'sigmoid']","['leaky_ReLU_derivative', 'sigmoid_derivative']",ReLU,binary_cross_entropy,MSE_derivative,92.98245614035088
"['leaky_ReLU', 'sigmoid']","['leaky_ReLU_derivative', 'sigmoid_derivative']",leaky_ReLU,binary_cross_entropy,MSE_derivative,94.73684210526315
"['sigmoid', 'softmax']","['sigmoid_derivative', '<lambda>']",sigmoid,binary_cross_entropy,MSE_derivative,98.24561403508771
"['sigmoid', 'softmax']","['sigmoid_derivative', '<lambda>']",softmax,binary_cross_entropy,MSE_derivative,62.28070175438597
"['sigmoid', 'softmax']","['sigmoid_derivative', '<lambda>']",ReLU,binary_cross_entropy,MSE_derivative,97.36842105263158
"['sigmoid', 'softmax']","['sigmoid_derivative', '<lambda>']",leaky_ReLU,binary_cross_entropy,MSE_derivative,98.24561403508771
"['leaky_ReLU', 'ReLU']","['leaky_ReLU_derivative', 'ReLU_derivative']",sigmoid,binary_cross_entropy,MSE_derivative,96.49122807017544
"['leaky_ReLU', 'ReLU']","['leaky_ReLU_derivative', 'ReLU_derivative']",softmax,binary_cross_entropy,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'ReLU']","['leaky_ReLU_derivative', 'ReLU_derivative']",ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
"['leaky_ReLU', 'ReLU']","['leaky_ReLU_derivative', 'ReLU_derivative']",leaky_ReLU,binary_cross_entropy,MSE_derivative,62.28070175438597
"['sigmoid', 'ReLU']","['sigmoid_derivative', 'ReLU_derivative']",sigmoid,binary_cross_entropy,MSE_derivative,98.24561403508771
